feature,rmse
a39758dae,1.753832013239037
10596ddee,1.7539458095527396
8132d18b8,1.7539911532803827
c0085a739,1.7541362126365465
9509f66b0,1.7543142172031458
f06078487,1.7546677848128047
ecbd077d0,1.7547289308292082
6dcd9e752,1.754871114858988
849c542c3,1.7548762908992563
d709df8f9,1.7548852253097698
025dea3b3,1.7550626311046273
f902239b9,1.7550649507705478
cd15bb515,1.7551395238617318
236910072,1.7551508676478544
5a6a1ec1a,1.7552034701042523
22610c726,1.7552069466175593
1c62e29a7,1.755253857040356
8e1822aa3,1.7552713166259246
c77f6dbfe,1.7553805699818845
acc744336,1.755386858959578
890163e1a,1.7553969047791338
097836097,1.755419770756796
bf89fac56,1.7554890540533035
26df61cc3,1.7555278565047532
4a14d4e94,1.7555398975719654
a3f2345bf,1.7555440787625889
1931ccfdd,1.7555593070394215
212efda42,1.7555718812315413
538df95cd,1.7556190779770475
13a2ecd25,1.7556269371714057
896d1c52d,1.7556331480876208
f5723deba,1.7556378594246824
854e37761,1.7556484828504648
f0aec6c6b,1.7557015542904155
b0868a049,1.7557150718299868
8c922fa9a,1.755715152660593
20a325694,1.7557619148843502
b5a25e7c9,1.7557663531017558
ccc9ba695,1.7557963552159062
a2e5adf89,1.755808754862878
64406f348,1.7558299385183644
c036f4785,1.7558485105827284
97ea72529,1.7558580761810862
56e98e3ad,1.7558650640415823
3adf5e2b5,1.7558805746509212
61c1b7eb6,1.7559164913481735
db3839ab0,1.7559406095805716
7bde71e2f,1.7559461683450552
556fb6bc0,1.7559577629706822
2ca23426b,1.7559610461634079
7af2b8f44,1.755963291595325
8f3740670,1.7559821107281715
73eeb092f,1.7560051060050768
cfa24e4be,1.7560158046149916
8909db7d5,1.7560249003634911
5edd220bc,1.7560432035258988
8f21c5b89,1.7560558588698965
f57ebfed7,1.7560705664934821
f3b6dabf7,1.75607209130906
24b2da056,1.7560970290557971
1b20c5c27,1.7561333697121475
563d2f09a,1.7561508930777552
799625b2f,1.7561564457421026
d9a8918f9,1.7561643177421093
0019109c4,1.7561712179438251
4cb2946ce,1.7561851458839448
dfcf7c0fa,1.7561983097292324
f3522fdaf,1.756202123925748
de63b3487,1.756203590108428
abace6b29,1.7562052607405314
e509be270,1.756218973183612
964037597,1.7562304840822551
683d89bf1,1.7562347309740258
6e738ec87,1.7562383073803214
18c0b76e9,1.7562503480314469
e2e1aaa1e,1.7562562476863357
5b2471c13,1.756263175548591
d746efbfe,1.756290819874932
e222309b0,1.7562945834986923
ccc7609f4,1.7563057914255007
c4de134af,1.7563238496260796
77eb013ca,1.7563433509639557
d7568383a,1.7563552497042298
66146c12d,1.7563699089699636
c5dacc85b,1.7563746595597647
87a91f998,1.7563833755422236
9f2f1099b,1.7563871369651727
4e06c5c6d,1.7564044152809752
88263a031,1.756417180980674
17cae1f2a,1.7564178352852586
fa05fd36e,1.7564547222516038
ca58e6370,1.7564622561364074
34b2a678e,1.756463788371252
cc9c2fc87,1.75647361831256
578eda8e0,1.7564752298132664
dee882846,1.7564858004234838
