leaked_target_0,leaked_target_1,leaked_target_2,leaked_target_3,leaked_target_4,leaked_target_5,leaked_target_6,leaked_target_7,leaked_target_8,leaked_target_9,leaked_target_10,leaked_target_11,leaked_target_12,leaked_target_13,leaked_target_14,leaked_target_15,leaked_target_16,leaked_target_17,leaked_target_18,leaked_target_19,leaked_target_20,leaked_target_21,leaked_target_22,leaked_target_23,leaked_target_24,leaked_target_25,leaked_target_26,leaked_target_27,leaked_target_28,leaked_target_29,leaked_target_30,leaked_target_31,leaked_target_32,leaked_target_33,leaked_target_34,leaked_target_35,leaked_target_36,leaked_target_37,compiled_leak
38000000.0,38000000.0,38000000.0,,38000000.0,,38000000.0,,,,38000000.0,38000000.0,,38000000.0,38000000.0,,,38000000.0,,38000000.0,,,,,,38000000.0,,38000000.0,,38000000.0,,38000000.0,,38000000.0,38000000.0,,,,38000000.0
600000.0,,,,,,600000.0,,600000.0,,,600000.0,,,,600000.0,,,,,,,,,,600000.0,,,,,,,,,,,,,600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,2000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2800000.0,,,,2800000.0,,,,2800000.0,,2800000.0,2800000.0,2800000.0,,,,2800000.0,,2800000.0,2800000.0,,,,,,,,,,2800000.0,,,,,,2800000.0
,,,164000.0,,164000.0,,,,,,,164000.0,164000.0,164000.0,,164000.0,,,164000.0,,,,,,164000.0,,164000.0,,,,,,,,164000.0,,,164000.0
600000.0,,,,,,600000.0,,,,,,,,600000.0,600000.0,,,,,,,,600000.0,,600000.0,,,,,,,,,,,,,600000.0
979000.0,979000.0,979000.0,979000.0,979000.0,979000.0,,,,979000.0,979000.0,979000.0,,979000.0,979000.0,979000.0,,979000.0,979000.0,,,,,,,,,,979000.0,,979000.0,,,979000.0,979000.0,979000.0,,979000.0,979000.0
,,,,,,,460000.0,,,,,,,,,,,,,460000.0,460000.0,,,,,,,,,,,,,,,,,460000.0
,,1100000.0,,,,,,,,,,,,,,1100000.0,,,,1100000.0,,,,,,,,,,,,,,,,,,1100000.0
,,16000000.0,,,,,,,,,,16000000.0,16000000.0,,,,,,16000000.0,,,,,16000000.0,,,,,,,16000000.0,,,,,,,16000000.0
,,,,,,,,354000.0,,354000.0,,354000.0,354000.0,354000.0,,,354000.0,,,,,,,,,,,,,,,,,,,,,354000.0
7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000.0,7000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800000.0
,200000.0,200000.0,200000.0,,,,,200000.0,,200000.0,200000.0,,,,,,,200000.0,,200000.0,,,,,,200000.0,,,,,,200000.0,,200000.0,,,,200000.0
3600000.0,,,,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,,,,3600000.0,3600000.0,,,3600000.0,,3600000.0,,,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,,,,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,,,,3600000.0
2786000.0,,,,,,,,,,,2786000.0,,,,,,,,,,,,,,,,,,,2786000.0,,,,,,,,2786000.0
,,,,,,,,,,,,,,40000.0,,,,40000.0,,,,,,,,,,,,,,,,,,,,40000.0
,,,,,,,,1600000.0,,1600000.0,,,1600000.0,1600000.0,,,,,1600000.0,,,,,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,,,,,,,,,,1600000.0
3266666.66,3266666.66,,,3266666.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266666.66
,6140000.0,6140000.0,6140000.0,,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0
14886000.0,14886000.0,,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,,,14886000.0,14886000.0,14886000.0,14886000.0,,,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,,14886000.0,,,14886000.0,14886000.0,14886000.0,,14886000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,400000.0,,,,,,,,,,,,,,,,,400000.0,,,,,400000.0,,,,,,,400000.0,400000.0,400000.0
,,,,,,6500000.0,,,6500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500000.0
,,1700000.0,1700000.0,,,1700000.0,,1700000.0,,,,,,,,,,,1700000.0,,,,,,,,,,,,,,,,,,,1700000.0
,,,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,,,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,,933333.34,,,933333.34,,,933333.34
4000000.0,,,4000000.0,,,,4000000.0,4000000.0,,,,,,,4000000.0,,,,4000000.0,,4000000.0,,4000000.0,,,,4000000.0,,4000000.0,,4000000.0,4000000.0,4000000.0,,,,,4000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666666.66,,,,,,,,,4666666.66,,,,4666666.66,,4666666.66,4666666.66,,,,,,,,,,,,,,4666666.66,,,,,,,,4666666.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,890000.0,,,,,,,,,,,,,,,,,,890000.0
6000000.0,,,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,,,,,,,,,,,6000000.0,,6000000.0,,,6000000.0,,6000000.0,6000000.0,6000000.0,6000000.0,,,6000000.0,,4000000.0,,,,,6000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2000000.0,2000000.0,2000000.0,,,,,,,2000000.0,,,,,2000000.0,,,,,,,,,,,,,,40000.0,,,2000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6400000.0,,,,,,,,,6400000.0,,,,,6400000.0,,,,6400000.0,,,,,,,,6400000.0,6400000.0,,,6400000.0,6400000.0,,,,6400000.0,,6400000.0
,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,,,20000000.0
,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
,,,,,,5000000.0,,,,5000000.0,,,,5000000.0,5000000.0,,5000000.0,,5000000.0,,5000000.0,5000000.0,,,,,5000000.0,,,,5000000.0,,5000000.0,5000000.0,,,,5000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000.0,,,,
,,,,,,,34738000.0,34738000.0,34738000.0,34738000.0,,,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,,,34738000.0,34738000.0,34738000.0,,34738000.0,,34738000.0,34738000.0,,34738000.0,34738000.0,,34738000.0,34738000.0,34738000.0,34738000.0
4000000.0,4000000.0,,4000000.0,,4000000.0,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,,4000000.0,4000000.0,4000000.0,,4000000.0,,4000000.0,4000000.0,,,,,,4000000.0,,4000000.0,,,,,,4000000.0
,,,,,1650000.0,,1650000.0,,,,,,,,,,,,,,,,,,,,,,,1650000.0,,,,,,,,1650000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13200000.0,,13200000.0,,13200000.0,,,,,13200000.0,,13200000.0,,13200000.0,13200000.0,,13200000.0,13200000.0,13200000.0,,,13200000.0,13200000.0,,,13200000.0,,13200000.0,,13200000.0,13200000.0,,,,,,13200000.0
,,,,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
,,,,2450000.0,2450000.0,2450000.0,2450000.0,,2450000.0,,,2450000.0,2450000.0,2450000.0,,2450000.0,,2450000.0,2450000.0,2450000.0,2450000.0,,,,,,2450000.0,2450000.0,,,,,,,,,,2450000.0
10050000.0,10050000.0,,,,10050000.0,,10050000.0,,10050000.0,,,10050000.0,10050000.0,10050000.0,10050000.0,10050000.0,10050000.0,,10050000.0,,,10050000.0,,,10050000.0,10050000.0,10050000.0,10050000.0,,10050000.0,,10050000.0,,,,,,10050000.0
,,,,,,,,,,1400000.0,,1400000.0,,,,1400000.0,,,,,1400000.0,,,,,,,,,,,,,,,,,1400000.0
2000000.0,2000000.0,,,2000000.0,,,2000000.0,,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,,,2000000.0,2000000.0,,2000000.0,2000000.0,,,,,,2000000.0,2000000.0,,,2000000.0,2000000.0,2000000.0,,2000000.0,,,2000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,232000.0,232000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,232000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,300000.0,,,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,300000.0
,,,,,,,,,,,,100000.0,,,,,,100000.0,,,100000.0,100000.0,,,,,,,100000.0,,,,,,,,,100000.0
,,,8000000.0,8000000.0,,8000000.0,,,,,,,8000000.0,,8000000.0,8000000.0,8000000.0,8000000.0,,,,,,,,,,,,,,,8000000.0,,,,,8000000.0
,20000000.0,,,20000000.0,20000000.0,20000000.0,20000000.0,,20000000.0,,20000000.0,,20000000.0,20000000.0,20000000.0,,,,,,20000000.0,20000000.0,20000000.0,,,,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,20000000.0,,20000000.0,20000000.0
,19333333.34,,19333333.34,19333333.34,,19333333.34,19333333.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19333333.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,,28000000.0,28000000.0,28000000.0,,28000000.0,,28000000.0,,,,28000000.0,28000000.0,,28000000.0,28000000.0,,,28000000.0,,28000000.0,,,,,28000000.0
,,,101000.0,,101000.0,,,,,,,101000.0,101000.0,,,,,,,,,101000.0,,,,,,,,,,,,,,,,101000.0
,9000000.0,9000000.0,,9000000.0,9000000.0,9000000.0,9000000.0,,9000000.0,9000000.0,,,9000000.0,9000000.0,9000000.0,,,9000000.0,,9000000.0,9000000.0,,,,9000000.0,9000000.0,,,,,9000000.0,9000000.0,9000000.0,,,,,9000000.0
12000000.0,12000000.0,12000000.0,,,,,,12000000.0,,12000000.0,,12000000.0,,12000000.0,,,12000000.0,12000000.0,,,,12000000.0,12000000.0,,,12000000.0,12000000.0,,,,,,,,,,,12000000.0
,,,,1068000.0,1068000.0,1068000.0,1068000.0,,1068000.0,,,1068000.0,1068000.0,1068000.0,,,,,,,,,,,,,,,,,,,,,,,,1068000.0
,10000000.0,10000000.0,10000000.0,,,,,,,,,10000000.0,,,,,,,10000000.0,,,,,,,,,,,,,,,,5000000.0,,,10000000.0
,25000000.0,25000000.0,25000000.0,,25000000.0,,25000000.0,25000000.0,,,,,,25000000.0,,25000000.0,,,,,,,,,,,,,,,,,,,,,,25000000.0
,,,,,,,,,,,78000.0,,,,78000.0,,,,,,,,,,,,,,,,,,,,78000.0,,,78000.0
,,,,5000000.0,5000000.0,,,,5000000.0,5000000.0,,,,5000000.0,5000000.0,,,,,,,,,5000000.0,,,,,,,,,,,,,,5000000.0
,,4000000.0,4000000.0,4000000.0,,4000000.0,4000000.0,,,4000000.0,,4000000.0,4000000.0,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,4000000.0
32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,,,32500000.0,32500000.0,32500000.0,32500000.0,,,,32500000.0,32500000.0,32500000.0,32500000.0,,,32500000.0,32500000.0,32500000.0,,,,,,,,,,,32500000.0
200000.0,,200000.0,,,,,200000.0,,,,200000.0,200000.0,,200000.0,200000.0,,,,200000.0,,,,,200000.0,,200000.0,,,200000.0,,,200000.0,,,,,,200000.0
620000.0,,,,620000.0,620000.0,,,620000.0,,,,,,,,,,,,,620000.0,620000.0,,,,,,,,,,,,,,,,620000.0
,200000.0,,200000.0,200000.0,,,,,,,200000.0,,,,200000.0,,,,,200000.0,200000.0,,,,,200000.0,,,200000.0,,,,,,200000.0,,,200000.0
10000000.0,,,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,10000000.0,,,10000000.0,,,,,,,,,,,10000000.0
5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,,,5000000.0
2290000.0,2290000.0,,,2290000.0,2290000.0,2290000.0,,,,2290000.0,2290000.0,,2290000.0,,,2290000.0,,2290000.0,2290000.0,,,,,,,,,,,,2290000.0,,2290000.0,2290000.0,2290000.0,2290000.0,20402500.0,2290000.0
,3925333.34,,3925333.34,3925333.34,3925333.34,3925333.34,3925333.34,3925333.34,,,,3925333.34,3925333.34,3925333.34,,3925333.34,3925333.34,3925333.34,,3925333.34,3925333.34,,,,,,,,,,3925333.34,,3925333.34,,,,,3925333.34
,,,16000000.0,,,16000000.0,,16000000.0,,16000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000.0
56000.0,,,56000.0,,,,,,56000.0,,56000.0,,,,,,,,56000.0,,56000.0,,,,,,56000.0,,,56000.0,56000.0,56000.0,,,56000.0,,92000.0,56000.0
,,,,9592000.0,,,9592000.0,9592000.0,,9592000.0,9592000.0,,9592000.0,,,9592000.0,,,,,,,,,,,,,,,,,,,,,,9592000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400000.0,6400000.0,,,,,,
,,,,,,,,,,,,,4500000.0,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,4500000.0
,,,4000000.0,,,,,,,,,,4000000.0,,,,,,,,,,,,,,,,,,,,,,,4000000.0,,4000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1160000.0,,,,,,,,,,,,1160000.0
4000000.0,,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,4000000.0,,,4000000.0,,4000000.0,,4000000.0,,,4000000.0,,,,,,,,,,,,,,,,,4000000.0
,,,,,6008000.0,6008000.0,,,6008000.0,6008000.0,,,6008000.0,6008000.0,,,,,,6008000.0,,6008000.0,6008000.0,6008000.0,,,,,,,,,,,,,,6008000.0
,,,,,1000000.0,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,1000000.0
3000000.0,,,,3000000.0,,,,3000000.0,,,3000000.0,3000000.0,3000000.0,,,3000000.0,,3000000.0,,,,3000000.0,,,,3000000.0,,,3000000.0,3000000.0,,3000000.0,,3000000.0,,,,3000000.0
30000000.0,,,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,,,,,30000000.0,,,,30000000.0,,,,,,30000000.0
,,,,,,,1800000.0,,,,,1800000.0,,,,1800000.0,,,,,,,,1800000.0,1800000.0,,,1800000.0,1800000.0,,,,1800000.0,1800000.0,,,,1800000.0
,,7000000.0,,7000000.0,,,,7000000.0,,,,7000000.0,,,7000000.0,7000000.0,,7000000.0,,7000000.0,,,,,7000000.0,,,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,,7000000.0,,,,7000000.0
2453200.0,2453200.0,2453200.0,2453200.0,,,,,,,,,,,,,,,2453200.0,,,2453200.0,2453200.0,,,,,2453200.0,,,2453200.0,,,,,,,,2453200.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185200.0,,,,,,,,,,185200.0,185200.0,,,,,,,,,,,,,,,,,,,,,,,,,,35050000.0,185200.0
10000000.0,,,,,,,,,10000000.0,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,10000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,,
,,,,600000.0,600000.0,,,600000.0,600000.0,,,,,,600000.0,,600000.0,,,600000.0,,,,600000.0,,,600000.0,600000.0,,,600000.0,,,,,,,600000.0
2000000.0,2000000.0,,,,,,,,,2000000.0,,,,,2000000.0,2000000.0,,,,,,,,2000000.0,,,,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,,,2000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2400000.0,,,,2400000.0,,2400000.0,2400000.0,,2400000.0,2400000.0,2400000.0,,,,2400000.0,2400000.0,,,,,,2400000.0,,,2400000.0,,,,,,,,,,2400000.0
,,2580000.0,,2580000.0,,,,,,,,,,,2580000.0,,,,,,,,,,,,,,,,,,,,,,,2580000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000.0,,,100000.0,100000.0,,,,100000.0,100000.0,,,100000.0,100000.0,100000.0,,,,,100000.0,,,100000.0,,100000.0,,100000.0,,,100000.0,,,,,,,100000.0,,100000.0
,,,,,,,,,,,,,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0
,,160000.0,,,,,160000.0,,160000.0,160000.0,160000.0,160000.0,,,160000.0,,,,,160000.0,160000.0,,160000.0,,,,160000.0,,,,,,,,,,,160000.0
3095200.0,3095200.0,3095200.0,3095200.0,3095200.0,3095200.0,3095200.0,,,3095200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3095200.0
20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0
